!	738983
379	625
37bn	931
37p	574
37th	2466
38	39208
38,000	1527
38-year	3359
380	2473
380,000	632
381	572
382	681
383	531
384	647
385	1080
3857	12303
386	560
387	622
388	545
389	687
38bn	700
38p	533
38th	2526
39	34370
39,000	855
39-year	2910
39.99	1205
390	1385
391	531
392	568
395	978
399	1406
39bn	668
39th	2526
3a	1370
3bn	10294
3c	693
3d	15921
3d.	777
3ds	1129
3er	9474
3i	1793
3min	768
3p	2381
3rd	10410
4	458002
4,000	18847
4,200	723
4,300	827
4,400	562
4,500	3953
4,600	592
4,700	604
4,800	630
4.0	890
4.00	2414
4.05	1120
4.05pm	523
4.1	3412
4.10	2015
4.10pm	570
4.15	1358
4.15pm	961
4.1bn	706
4.2	4454
4.20	2131
4.20pm	545
4.25	1858
4.25pm	547
4.2bn	986
4.3	4113
4.30	2297
4.30am	1073
4.30pm	2788
4.35	1048
4.3bn	971
4.4	3987
4.40	1848
4.45	1297
4.45pm	912
4.49	514
4.4bn	1056
4.5	10610
4.50	3035
4.55	1095
4.5bn	2183
4.5p	1085
4.6	4059
4.6bn	1004
4.7	3854
4.75	1393
4.7bn	771
4.8	3568
4.8bn	882
4.9	2823
4.95	804
4.99	3469
4.9bn	689
4/10	603
4/5	1042
40	185320
40,000	16742
40-minute	1291
40-odd	757
40-yard	569
40-year	6013
400	47685
400,000	11198
4000	1722
400bn	765
400ml	513
400p	875
400th	712
401	691
403	551
404	689
405	804
406	536
407	595
408	669
40bn	3047
40c	828
40p	2014
40s	8464
40th	5698
41	31232
41,000	1153
41-year	2408
410	1150
411	524
412	844
414	527
415	922
416	545
418	523
419	765
41st	2289
42	37190
42,000	1556
42-day	581
42-year	2485
420	2168
420,000	538
422	537
423	577
424	536
425	1310
427	583
429	802
42nd	2550
42p	506
43	32848
43,000	1139
43-year	2328
430	1723
432	575
433	571
434	539
435	976
438	595
439	503
43bn	505
43rd	2423
44	33952
44,000	1213
44-year	2235
440	1805
442	746
443	597
444	992
445	806
448	540
449	643
44th	2438
45	69432
45,000	4520
45-minute	2704
45-year	2642
450	9624
450,000	2921
451	1892
454	519
455	752
456	541
457	908
458	656
45bn	1360
45p	1357
45th	2784
46	31075
46,000	1008
46-year	2089
460	1440
465	661
466	509
467	512
46th	1896
47	30547
47,000	1083
47-year	2006
470	1427
473	822
4736	1253
475	1000
477	600
478	504
47th	1915
48	42798
48,000	1113
48-hour	1725
48-year	1870
480	1839
482	511
485	623
48bn	526
48th	1868
49	29110
49,000	601
49-year	1737
49.99	557
490	819
495	798
499	1337
49ers	2303
49th	1921
4a	884
4bn	7814
4c	762
4chan	630
4min	616
4od	779
4p	2085
4s	760
4th	10080
4x100	1622
4x4	2113
4x400	853
4x4s	925
5	327646
5,000	33321
5,200	505
5,500	2186
5.0	538
5.00	1804
5.05	912
5.1	3000
5.10	1358
5.15	1298
5.15pm	1110
5.1bn	567
5.2	3600
5.20	1309
5.25	1971
5.2bn	708
5.3	3347
5.30	2016
5.30am	1225
5.30pm	3797
5.35	914
5.3bn	752
5.4	3200
5.40	971
5.45	1042
5.45pm	756
5.49	510
5.4bn	648
5.5	7522
5.50	1802
5.55	540
5.5bn	1393
5.5p	1072
5.6	3419
5.6bn	765
5.7	3163
5.75	1084
5.7bn	701
5.8	2984
5.8bn	712
5.9	2417
5.95	553
5.99	2926
5.9bn	525
5/10	1064
50	227557
50,000	26485
50-minute	667
50-odd	516
50-over	1803
50-plus	513
50-year	4446
50/50	1739
500	65930
500,000	21443
5000	2155
500bn	1210
500ml	1553
500p	669
500th	644
501	698
503	664
505	631
50:50	846
50bn	4689
50ml	1288
50p	6475
50s	14117
50th	9077
51	27188
51,000	616
51-year	1559
510	717
512	973
515	508
51st	1656
52	29273
52,000	1156
52-year	1905
520	1345
525	933
529	527
52nd	1545
53	26423
53,000	946
53-year	1674
530	1228
535	509
53rd	1429
54	26429
54,000	1088
54-year	1602
540	1356
545	610
54th	1447
55	37871
55,000	2827
55-year	1866
550	4753
550,000	1168
552	520
555	1126
556	1002
557	581
55bn	627
55p	825
55th	1480
56	24937
56,000	844
56-year	1517
560	1297
56th	1366
57	24368
57,000	840
57-year	1406
570	1071
571	562
575	691
57th	1455
58	24112
58,000	920
58-year	1323
580	1193
58th	1301
59	22593
59-year	1473
590	566
599	766
59th	1288
5a	531
5bn	9200
5c	856
5ej	518
5p	3156
5s	899
5th	6357
6	286337
6,000	15843
6,500	2245
6.0	575
6.00	713
6.1	2425
6.10	673
6.15	762
6.15pm	755
6.2	2859
6.20	703
6.25	957
6.2bn	777
6.3	2848
6.30	1540
6.30am	1424
6.30pm	4202
6.3bn	571
6.4	2827
6.40	738
6.45	776
6.45pm	828
6.4bn	624
6.5	6491
6.50	1860
6.5bn	1010
6.5p	926
6.6	2801
6.7	2720
6.75	580
6.7bn	510
6.8	2561
6.9	2196
6.95	590
6.99	5984
6/10	1608
60	112953
60,000	12053
60-minute	758
60-year	2969
600	27643
600,000	9071
6000	1030
600bn	549
600p	604
606	957
60bn	2353
60p	1529
60s	25411
60th	4171
61	21075
61,000	500
61-year	1390
610	559
61st	1162
62	24151
62,000	851
62-year	1516
620	945
623	525
625	853
62nd	1234
63	22673
63,000	751
63-year	1414
630	1084
63rd	1261
64	24977
64,000	929
64-bit	729
64-year	1540
640	1078
64th	1301
65	40283
65,000	3034
65-year	1796
650	5545
650,000	1912
65bn	722
65p	682
65th	1757
66	24948
66,000	847
66-year	1145
660	1076
665	500
666	604
66th	1324
67	22998
67,000	849
67-year	1132
670	967
675	668
67th	1303
68	23265
68,000	818
68-year	1084
680	1017
6846	7550
68th	1271
69	21290
69-year	1058
690	566
69th	1292
6bn	5912
6music	880
6p	1795
6s	579
6th	5757
7	221307
7,000	11452
7,200	520
7,500	3210
7.00	679
7.1	2040
7.10	685
7.15	769
7.15pm	1289
7.2	2435
7.20	1131
7.25	1034
7.2bn	638
7.3	2249
7.30	2149
7.30am	1695
7.30pm	8433
7.4	2366
7.40	703
7.45	888
7.45pm	2941
7.5	6760
7.50	2400
7.5bn	1075
7.5p	861
7.6	2329
7.6bn	544
7.7	2326
7.8	2383
7.9	1843
7.95	645
7.99	7051
7/10	2372
7/7	2507
70	81458
70,000	8564
70-year	2187
700	18708
700,000	6909
7000	572
700bn	935
702	795
709	513
70bn	1403
70p	1081
70s	29282
70th	3765
71	20217
71-year	1065
71st	1180
72	26244
72,000	899
72-year	1204
720	1064
7239	25594
7278	9563
72nd	1445
73	20349
73,000	633
73-year	1075
730	708
7304	790
737	1894
73rd	1223
74	19685
74,000	739
74-year	1121
740	686
7452	510
747	1518
74th	1120
75	49650
75,000	5096
75-year	1295
750	7965
750,000	4717
757	546
75bn	860
75p	1176
75th	2382
76	18676
76,000	679
76-year	886
760	844
7638	598
76ers	689
76th	1150
77	19217
77,000	732
77-year	963
770	870
7713	1683
777	1267
77th	1174
78	19146
78,000	627
78-year	918
780	959
787	890
78th	1214
79	17160
79-year	754
790	506
79p	630
79th	1151
7bn	4582
7p	1505
7th	6123
8	179187
8)	10159
8,000	11666
8,500	1491
8.00	598
8.1	2201
8.10	714
8.15	674
8.15pm	662
8.2	1841
8.20	659
8.25	540
8.3	1995
8.30	1161
8.30am	2023
8.30pm	5483
8.4	2121
8.40	508
8.45	607
8.45pm	769
8.5	4305
8.50	1551
8.5bn	734
8.5p	803
8.6	2062
8.7	1816
8.8	1863
8.9	1744
8.95	598
8.99	4821
8/10	2307
80	83113
80,000	9353
80-year	1734
800	25873
800,000	6989
8000	1076
808	632
80bn	1696
80p	1073
80s	32842
80th	3083
81	15387
81-year	820
81st	1125
82	16739
82,000	834
82-year	876
820	610
8255	1291
82nd	1295
83	16252
83,000	502
83-year	772
830	539
836	2668
83rd	1062
84	16058
84,000	652
84-year	847
840	705
84th	1032
85	27237
85,000	2233
85-year	887
850	3509
850,000	1412
85bn	861
85p	542
85th	1341
86	15705
86,000	516
86-year	634
860	672
86th	1082
87	14978
87,000	620
87-year	581
870	709
871	584
87th	1199
88	16109
88,000	576
880	591
888	1052
8891	619
88th	1244
89	14127
890	582
89th	1498
8bn	5317
8p	1540
8th	5714
9	173456
9,000	8481
9,500	858
9.1	1459
9.10pm	513
9.15	545
9.15am	687
9.15pm	866
9.2	1492
9.3	1624
9.30	823
9.30am	3980
9.30pm	3978
9.3bn	642
9.4	1681
9.45am	776
9.45pm	953
9.5	3107
9.50	1002
9.5p	698
9.6	1708
9.7	1489
9.8	1417
9.9	1510
9.95	1128
9.99	7553
9/10	1301
9/11	19087
90	94476
90,000	5027
90-day	1044
90-minute	3361
90-year	967
900	11145
900,000	3479
9000	558
90bn	777
90p	839
90s	25348
90th	3213
91	10797
911	1949
91st	748
92	13324
92,000	502
92nd	849
93	12658
930	526
93rd	891
94	11090
940	537
94th	793
95	22598
95,000	962
950	1612
9589	1626
95th	779
96	14208
960	562
96th	651
97	11705
97th	566
98	13278
9857	21726
9897	673
98th	527
99	18918
99.9	883
995	513
999	4263
9997	1839
99p	1438
99th	707
9bn	3207
9gu	5663
9p	1304
9th	5564
:	5115074
;	1809158
<	2505
=	10440
>	3486
?	2644700
@	4178
@andrewsparrow	1076
@commentisfree	1756
@gdnhealthcare	921
@gdnhighered	730
@gdnsocialcare	549
@gdntech	651
@grrlscientist	1113
@guardiangdp	873
@guardianpublic	1136
@guardianteach	992
A Clockwork Orange	1035
A. Mali	874
AL Kennedy	617
AS Byatt	916
AV	542
Aaron Finch	610
Aaron Lennon	1243
Aaron Mooy	760
Aaron Ramsey	5776
Aaron Rodgers	953
Aaron Sorkin	1120
Abbas Kiarostami	599
Abby Wambach	576
Abdel Fatah al - Sisi	642
Abdel Hakim Belhaj	536
Abdelbaset al - Megrahi	1508
Abdullah Abdullah	1002
Abdullah Gul	578
Abdurrahman Wahid	513
Abedi Pele	1361
Abi Morgan	539
Abigail	519
Abou Diaby	1297
Abraham Lincoln	1817
Abta	544
Abu Bakr al - Baghdadi	513
Abu Ghraib	2290
Abu Hamza	929
Abu Mazen	777
Abu Musab al - Zarqawi	1765
Abu Qatada	1464
Across Rio	1857
Adair Turner	1206
Adam Ant	1510
Adam Bandt	1276
Adam Boulton	899
Adam Collins	515
Adam Crozier	2704
Adam Gemili	512
Adam Gilchrist	1393
Adam Giles	944
Adam Goodes	577
Adam Johnson	2716
Adam Jones	905
Adam Lallana	2870
Adam Lyth	1205
Adam Pearson	1106
Adam Rieger Glasgow	7427
Adam Sandler	1437
Adam Schiff	775
Adam Scott	2698
Adam Smith	2515
Adam Voges	755
Adam Werritty	786
Adel Taarabt	803
Adil Rashid	3874
Adnan Januzaj	1490
Adobe Photoshop	766
Adolf Hitler	20499
Adrian Chiles	1160
Adrian Mutu	953
Adscape | MySpace	1244
Agatha Christie	2185
Ahmad Chalabi	869
Ahmed Chalabi	502
Ahmed Musa	515
Ai Weiwei	1789
Aidan O'Brien	4995
Aidan O’Brien	1651
Aiden McGeady	1754
Aidy Boothroyd	840
